POSTAL_COD,ROAD_NAME,BUILDING_N,Dest,Service_Feedback
118242,SCIENCE PARK DRIVE,THE FLEMING,GBTB,Not Good
118243,SCIENCE PARK DRIVE,THE FLEMING,Suntec City,Very Good
118244,SCIENCE PARK DRIVE,THE FLEMING,MBS,Good
118245,SCIENCE PARK DRIVE,THE FLEMING,Novena Square,So So
118246,SCIENCE PARK DRIVE,THE FLEMING,Night Safari,Not Good
118248,SCIENCE PARK DRIVE,THE FLEMING,Night Safari,Very Good
118306,ROYAL ROAD,,Marina Barrage,Good
118458,PEPYS ROAD,REFLECTION AT BUKIT CHANDU (OPIUM HILL),Sentosa,Very Good
118476,PASIR PANJANG ROAD,,Sentosa,Good
118488,PASIR PANJANG ROAD,,Sentosa,So So
118489,PASIR PANJANG ROAD,,Sentosa,Not Good
118495,PASIR PANJANG ROAD,PASIR PANJANG APARTMENTS,Novena Square,Very Good
118496,PASIR PANJANG ROAD,PASIR PANJANG APARTMENTS,Botanic Gardens,Good
118523,PASIR PANJANG ROAD,INTERLOCAL CENTRE,Suntec City,So So
118525,PASIR PANJANG ROAD,SUTL HOUSE,Novena Square,Not Good
118529,PASIR PANJANG ROAD,CITILINK WAREHOUSE COMPLEX,Singapore Polytechnic,Very Good
118530,PASIR PANJANG ROAD,CITILINK WAREHOUSE COMPLEX,Singapore Polytechnic,Good
118553,PASIR PANJANG ROAD,,Suntec City,So So
118553,PASIR PANJANG ROAD,,Suntec City,Not Good
118553,PASIR PANJANG ROAD,,Suntec City,Very Good
118553,PASIR PANJANG ROAD,,Suntec City,Good
118553,PASIR PANJANG ROAD,,Suntec City,So So
118553,PASIR PANJANG ROAD,,Suntec City,Not Good
118553,PASIR PANJANG ROAD,,Suntec City,Very Good
118553,PASIR PANJANG ROAD,,Suntec City,Good
118553,PASIR PANJANG ROAD,,Suntec City,So So
118557,PASIR PANJANG ROAD,,Marina Barrage,Not Good
118566,PASIR PANJANG ROAD,,Marina Barrage,Very Good
118568,PASIR PANJANG ROAD,,Sentosa,Good
118580,PASIR PANJANG ROAD,HARBOUR VIEW GARDENS,Marina Barrage,So So
118591,PASIR PANJANG ROAD,,Marina Barrage,Not Good
118621,PASIR PANJANG ROAD,,Marina Barrage,Very Good
118624,PASIR PANJANG ROAD,,MBS,Good
118627,PASIR PANJANG ROAD,,Sentosa,So So
118633,PASIR PANJANG ROAD,GLORIA MANSION,Suntec City,Not Good
118635,PASIR PANJANG ROAD,PALISADES,Novena Square,Very Good
118641,PASIR PANJANG ROAD,,Marina Barrage,Good
118648,PASIR PANJANG ROAD,,Marina Barrage,So So
118649,PASIR PANJANG ROAD,,Marina Barrage,Not Good
118650,PASIR PANJANG ROAD,,Marina Barrage,Very Good
118654,PASIR PANJANG ROAD,SHELL PASIR PANJANG 328,MBS,Good
118671,PASIR PANJANG ROAD,,Marina Barrage,So So
118672,PASIR PANJANG ROAD,,GBTB,Not Good
118696,PASIR PANJANG ROAD,,Sentosa,Very Good
118697,PASIR PANJANG ROAD,THE TABERNACLE CHURCH AND MISSIONS,Sentosa,Good
118699,PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,Night Safari,So So
118700,PASIR PANJANG ROAD,,Sentosa,Not Good
118702,PASIR PANJANG ROAD,GOLD COAST CONDOMINIUM,GBTB,Very Good
118720,PASIR PANJANG ROAD,LONGBEACH TOWNHOUSES,Marina Barrage,Good
118721,PASIR PANJANG ROAD,LONGBEACH TOWNHOUSES,Marina Barrage,So So
118757,PASIR PANJANG ROAD,,Sentosa,Not Good
118807,PASIR PANJANG ROAD,,Sentosa,Very Good
118809,PASIR PANJANG ROAD,,Marina Barrage,Good
118818,PASIR PANJANG ROAD,GRYPHON TERRACE,Marina Barrage,So So
118819,PASIR PANJANG ROAD,GRYPHON TERRACE,Marina Barrage,Not Good
118844,PASIR PANJANG HILL,,MBS,Very Good
118848,PASIR PANJANG HILL,,Marina Barrage,Good
118905,PASIR PANJANG HILL,VENTANA VILLAS,Novena Square,So So
118908,PASIR PANJANG HILL,VENTANA VILLAS,Sentosa,Not Good
119047,NEO PEE TECK LANE,,Marina Barrage,Very Good
119048,NEO PEE TECK LANE,,Marina Barrage,Good
119162,LORONG SARHAD,SARHAD VILLE,GBTB,So So
119519,JALAN MAT JAMBOL,ISLAND VIEW,Singapore Polytechnic,Not Good
119520,JALAN MAT JAMBOL,ISLAND VIEW,Singapore Polytechnic,Very Good
119602,HENG MUI KENG TERRACE,WILMER LODGE,GBTB,Good
119603,HENG MUI KENG TERRACE,WILMER LODGE,Suntec City,So So
119604,HENG MUI KENG TERRACE,WILMER LODGE,MBS,Not Good
119608,HENG MUI KENG TERRACE,,Sentosa,Very Good
119961,ALEXANDRA ROAD,,Marina Barrage,Good
119962,ALEXANDRA ROAD,FRAGRANCE EMPIRE BUILDING,GBTB,So So
119964,ALEXANDRA ROAD,,MBS,Not Good
119968,ALEXANDRA ROAD,ALEXANDRA TECHNOPARK,Night Safari,Very Good
119969,ALEXANDRA ROAD,,Sentosa,Good
133028,DOVER CRESCENT,DOVER GARDENS,Sentosa,So So
134028,DOVER CRESCENT,DOVER GARDENS,Sentosa,Not Good
139651,DOVER ROAD,SINGAPORE POLYTECHNIC,Marina Barrage,Very Good
139652,DOVER ROAD,,GBTB,Good
139653,DOVER ROAD,,Suntec City,So So
139654,DOVER ROAD,UNITED WORLD COLLEGE OF SOUTH EAST ASIA (DOVER CAMPUS),MBS,Not Good
139657,DOVER ROAD,NEW TOWN SECONDARY SCHOOL,Night Safari,Very Good
139658,DOVER ROAD,SINGAPORE POLYTECHNIC (SP GRADUATES GUILD CLUB HOUSE),Singapore Polytechnic,Good
139963,AYER RAJAH CRESCENT,,Suntec City,So So
140169,STIRLING ROAD,STIRLING VIEW,Singapore Polytechnic,Not Good
140463,COMMONWEALTH DRIVE,,Suntec City,Very Good
141023,QUEEN'S CLOSE,QUEEN'S VIEW,Suntec City,Good
141032,MARGARET DRIVE,SKYRESIDENCE @ DAWSON,GBTB,So So
141033,MARGARET DRIVE,SKYRESIDENCE @ DAWSON,Suntec City,Not Good
141037,COMMONWEALTH DRIVE,HDB-QUEENSTOWN,Sentosa,Very Good
141039,MARGARET DRIVE,SKYOASIS @ DAWSON,Sentosa,Good
141040,MARGARET DRIVE,SKYOASIS @ DAWSON,Sentosa,So So
141064,COMMONWEALTH DRIVE,,MBS,Not Good
141107,COMMONWEALTH CRESCENT,,Sentosa,Very Good
141129,CLARENCE LANE,MULTI STOREY CAR PARK,Singapore Polytechnic,Good
141156,MEI LING STREET,MEI LING VISTA,Sentosa,So So
141161,MEI LING STREET,MULTI STOREY CAR PARK,Marina Barrage,Not Good
141169,STIRLING ROAD,MULTI STOREY CAR PARK,Singapore Polytechnic,Very Good
141171,STIRLING ROAD,MULTI STOREY CAR PARK,Marina Barrage,Good
142031,MARGARET DRIVE,SKYRESIDENCE @ DAWSON,Marina Barrage,So So
142035,TANGLIN HALT ROAD,,Novena Square,Not Good
142036,MARGARET DRIVE,SKYRESIDENCE @ DAWSON,Marina Barrage,Very Good
142037,COMMONWEALTH DRIVE,MULTI STOREY CAR PARK,Singapore Polytechnic,Good
142040,MARGARET DRIVE,SKYOASIS @ DAWSON,Sentosa,So So
142062,STRATHMORE AVENUE,STRATHMORE GREEN,GBTB,Not Good
142083,COMMONWEALTH CLOSE,COMMONWEALTH HEIGHTS,Suntec City,Very Good
142084,COMMONWEALTH CLOSE,COMMONWEALTH HEIGHTS,MBS,Good
142085,COMMONWEALTH CLOSE,COMMONWEALTH HEIGHTS,Novena Square,So So
142094,DAWSON ROAD,SKYPARC @ DAWSON,MBS,Not Good
142095,DAWSON ROAD,SKYPARC @ DAWSON,Novena Square,Very Good
142096,DAWSON ROAD,,Sentosa,Good
143041,MARGARET DRIVE,SKYOASIS @ DAWSON,Marina Barrage,So So
143042,MARGARET DRIVE,SKYOASIS @ DAWSON,GBTB,Not Good
143043,MARGARET DRIVE,SKYOASIS @ DAWSON,Suntec City,Very Good
143050,COMMONWEALTH DRIVE,COMMONWEALTH 10,Marina Barrage,Good
143060,STRATHMORE AVENUE,,Sentosa,So So
143061,STRATHMORE AVENUE,STRATHMORE GREEN,Marina Barrage,Not Good
143083,COMMONWEALTH CLOSE,COMMONWEALTH HEIGHTS,Suntec City,Very Good
143096,DAWSON ROAD,,Sentosa,Good
144061,STRATHMORE AVENUE,STRATHMORE GREEN,Marina Barrage,So So
148947,STIRLING ROAD,TRUE WAY PRESBYTERIAN CHURCH,Sentosa,Not Good
148948,STIRLING ROAD,QUEENSTOWN SWIMMING COMPLEX,Singapore Polytechnic,Very Good
148949,STIRLING ROAD,QUEENSTOWN STADIUM,Sentosa,Good
148952,STIRLING ROAD,MASJID MUJAHIDIN,GBTB,So So
148953,STIRLING ROAD,TIONG GHEE TEMPLE,Suntec City,Not Good
149055,QUEENSWAY,SPECIAL OPERATIONS COMMAND,Novena Square,Very Good
149056,QUEENSWAY,SPECIAL OPERATIONS COMMAND,Singapore Polytechnic,Good
149067,QUEENSWAY,ESSO QUEENSWAY A,Sentosa,So So
149305,MARGARET DRIVE,QUEENSTOWN BAPTIST CHURCH,Novena Square,Not Good
149309,MARGARET DRIVE,MASJID JAMEK QUEENSTOWN,Sentosa,Very Good
149596,COMMONWEALTH DRIVE,TANGLIN HALT INDUSTRIAL ESTATE,Night Safari,Good
149597,COMMONWEALTH DRIVE,TANGLIN HALT INDUSTRIAL ESTATE,Sentosa,So So
149601,COMMONWEALTH DRIVE,QUEENSTOWN LUTHERAN CHURCH,Marina Barrage,Not Good
149602,COMMONWEALTH DRIVE,QUEENSTOWN LUTHERAN CHURCH,GBTB,Very Good
149736,COMMONWEALTH AVENUE,SPC COMMONWEALTH,Sentosa,Good
150125,BUKIT MERAH LANE 1,,Novena Square,So So
151075,REDHILL ROAD,,Novena Square,Not Good
151120,BUKIT MERAH LANE 1,,Changi Airport,Very Good
151124,BUKIT MERAH VIEW,HDB-BUKIT MERAH,MBS,Good
151128,BUKIT MERAH VIEW,BUKIT MERAH VIEW,Sentosa,So So
152063,LENGKOK BAHRU,LENGKOK BAHRU HEIGHTS,Suntec City,Not Good
152124,BUKIT MERAH VIEW,HDB-BUKIT MERAH,MBS,Very Good
152126,BUKIT MERAH VIEW,MULTI STOREY CAR PARK,Singapore Polytechnic,Good
153075,REDHILL ROAD,,Novena Square,So So
158790,TIONG BAHRU ROAD,DELTA SPORTS HALL,Night Safari,Not Good
158792,TIONG BAHRU ROAD,REDHILL MRT STATION,GBTB,Very Good
158793,TIONG BAHRU ROAD,,Suntec City,Good
159457,JALAN BUKIT MERAH,SINGAPORE MANUFACTURING FEDERATION BUILDING,Singapore Polytechnic,So So
159458,JALAN BUKIT MERAH,ESSO JALAN BUKIT MERAH,Sentosa,Not Good
159460,JALAN BUKIT MERAH,RUBIKON,Singapore Polytechnic,Very Good
159461,JALAN BUKIT MERAH,GATEWAY THEATRE,Marina Barrage,Good
159462,JALAN BUKIT MERAH,BUKIT MERAH PUBLIC LIBRARY,GBTB,So So
159463,JALAN BUKIT MERAH,CALTEX JALAN BUKIT MERAH,Suntec City,Not Good
159464,JALAN BUKIT MERAH,SPC BUKIT MERAH,MBS,Very Good
159465,JALAN BUKIT MERAH,BUKIT MERAH COMMUNITY CENTRE,Novena Square,Good
159466,JALAN BUKIT MERAH,NEA CENTRAL REGIONAL OFFICE,Sentosa,So So
159469,JALAN BUKIT MERAH,,Sentosa,Not Good
159470,JALAN BUKIT MERAH,,Sentosa,Very Good
159471,JALAN BUKIT MERAH,E-CENTRE @ REDHILL,Marina Barrage,Good
159681,BUKIT MERAH VIEW,LEI YIN TEMPLE,Marina Barrage,So So
159720,BUKIT MERAH LANE 3,ALEXANDRA VILLAGE INDUSTRIAL ESTATE,Sentosa,Not Good
159722,BUKIT MERAH LANE 3,ALEXANDRA VILLAGE INDUSTRIAL ESTATE,GBTB,Very Good
159723,BUKIT MERAH LANE 3,ALEXANDRA VILLAGE INDUSTRIAL ESTATE,Suntec City,Good
159837,BUKIT MERAH CENTRAL,,Singapore Polytechnic,So So
159838,BUKIT MERAH CENTRAL,,Botanic Gardens,Not Good
159840,BUKIT MERAH CENTRAL,BUKIT MERAH BUS INTERCHANGE,Singapore Polytechnic,Very Good
159955,ALEXANDRA ROAD,THE ANCHORAGE,Novena Square,Good
159956,ALEXANDRA ROAD,THE ANCHORAGE,Sentosa,So So
159957,ALEXANDRA ROAD,THE ANCHORAGE,Singapore Polytechnic,Not Good
159959,ALEXANDRA ROAD,THE ANCHORAGE,Sentosa,Very Good
159964,ALEXANDRA ROAD,ALEXANDRA HOSPITAL,MBS,Good
159965,ALEXANDRA ROAD,IKEA INDUSTRIAL BUILDING,Novena Square,So So
159972,ALEXANDRA ROAD,ALEXANDRA CENTRAL,GBTB,Not Good
160142,JALAN BUKIT MERAH,HDB-BUKIT MERAH,GBTB,Very Good
161125,KIM TIAN ROAD,,Novena Square,Good
161127,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,So So
161132,JALAN BUKIT MERAH,,GBTB,Not Good
162044,HAVELOCK ROAD,MULTI STOREY CAR PARK,MBS,Very Good
162054,HAVELOCK ROAD,HAVELOCK VIEW,MBS,Good
162120,KIM TIAN PLACE,KIM TIAN TOWERS,Singapore Polytechnic,So So
162126,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,Not Good
162127,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,Very Good
163011,BOON TIONG ROAD,TIONG BAHRU VIEW,Marina Barrage,Good
163120,KIM TIAN PLACE,KIM TIAN TOWERS,Sentosa,So So
163126,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,Not Good
163127,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,Very Good
164025,JALAN MEMBINA,MEMBINA COURT,Novena Square,Good
164027,JALAN MEMBINA,MEMBINA COURT,Sentosa,So So
164127,KIM TIAN ROAD,KIM TIAN GREEN,Sentosa,Not Good
165006,BOON TIONG ROAD,BOON TIONG ARCADIA,Sentosa,Very Good
166006,BOON TIONG ROAD,BOON TIONG ARCADIA,Sentosa,Good
166026,JALAN MEMBINA,MEMBINA COURT,Sentosa,So So
168730,TIONG BAHRU ROAD,CENTRAL PLAZA,Singapore Polytechnic,Not Good
169038,OUTRAM ROAD,,Marina Barrage,Very Good
169038,OUTRAM ROAD,,Sentosa,Good
169038,OUTRAM ROAD,,Sentosa,So So
169048,OUTRAM ROAD,,Marina Barrage,Not Good
169049,OUTRAM ROAD,,Marina Barrage,Very Good
169049,OUTRAM ROAD,,Marina Barrage,Good
169056,OUTRAM ROAD,COO,Marina Barrage,So So
169056,OUTRAM ROAD,COO,Marina Barrage,Not Good
169056,OUTRAM ROAD,COO,Marina Barrage,Very Good
169057,OUTRAM ROAD,,Sentosa,Good
169057,OUTRAM ROAD,,Sentosa,So So
169069,OUTRAM ROAD,,Marina Barrage,Not Good
169069,OUTRAM ROAD,,Marina Barrage,Very Good
169070,OUTRAM ROAD,,Marina Barrage,Good
169071,OUTRAM ROAD,,Marina Barrage,So So
169073,OUTRAM ROAD,TAN BOON LIAT BLDG,Suntec City,Not Good
169207,LOWER DELTA ROAD,TIONG BAHRU FOOD CENTRE,Sentosa,Very Good
169545,JALAN BUKIT MERAH,THAI BUDDHIST TEMPLE,Novena Square,Good
169628,HAVELOCK ROAD,THE WAREHOUSE,Sentosa,So So
169636,HAVELOCK ROAD,HOCK TECK TONG TEMPLE,Changi Airport,Not Good
169637,HAVELOCK ROAD,SHELL HAVELOCK,Sentosa,Very Good
169638,HAVELOCK ROAD,HARVEST MANSIONS,Sentosa,Good
169640,HAVELOCK ROAD,KIM SENG COMMUNITY CENTRE,Sentosa,So So
169641,HAVELOCK ROAD,ISETAN OFFICE BUILDING,Marina Barrage,Not Good
169647,HAVELOCK ROAD,,Marina Barrage,Very Good
169647,HAVELOCK ROAD,,Marina Barrage,Good
169648,HAVELOCK ROAD,,Marina Barrage,So So
169648,HAVELOCK ROAD,,Marina Barrage,Not Good
169651,HAVELOCK ROAD,,Marina Barrage,Very Good
169651,HAVELOCK ROAD,,Marina Barrage,Good
169652,HAVELOCK ROAD,,GBTB,So So
169652,HAVELOCK ROAD,,GBTB,Not Good
169654,HAVELOCK ROAD,,MBS,Very Good
169654,HAVELOCK ROAD,,MBS,Good
169663,HAVELOCK ROAD,GRAND COPTHORNE WATERFRONT HOTEL SINGAPORE,Suntec City,So So
169796,ENG HOON STREET,SAINT MATTHEW'S CHURCH,Sentosa,Not Good
169797,ENG HOON STREET,,Marina Barrage,Very Good
169878,CHIN SWEE ROAD,LANDMARK TOWER,Singapore Polytechnic,Good
169879,CHIN SWEE ROAD,HOTEL RE! @ PEARL'S HILL,Sentosa,So So
179030,RIVER VALLEY ROAD,LIANG COURT,Night Safari,Not Good
179031,RIVER VALLEY ROAD,LIANG COURT,Marina Barrage,Very Good
179032,RIVER VALLEY ROAD,LIANG COURT,GBTB,Good
179036,RIVER VALLEY ROAD,LIANG COURT,Singapore National Museum,So So
179681,CONNAUGHT DRIVE,SINGAPORE CRICKET CLUB,Marina Barrage,Not Good
179682,CONNAUGHT DRIVE,SINGAPORE RECREATION CLUB,GBTB,Very Good
179808,COLEMAN STREET,,Sentosa,Good
181269,QUEEN STREET,CHENG YAN COURT,Sentosa,So So
182269,QUEEN STREET,CHENG YAN COURT,Singapore Polytechnic,Not Good
183269,QUEEN STREET,CHENG YAN COURT,Sentosa,Very Good
188023,VICTORIA STREET,BUGIS VILLAGE,Suntec City,Good
188023,VICTORIA STREET,BUGIS VILLAGE,Suntec City,So So
188025,VICTORIA STREET,BUGIS VILLAGE,Novena Square,Not Good
188026,VICTORIA STREET,BUGIS VILLAGE,Night Safari,Very Good
188027,VICTORIA STREET,BUGIS VILLAGE,Night Safari,Good
188029,VICTORIA STREET,BUGIS VILLAGE,Night Safari,So So
188030,VICTORIA STREET,BUGIS VILLAGE,Sentosa,Not Good
188062,VICTORIA STREET,,GBTB,Very Good
188312,SELEGIE ROAD,SELEGIE COURT,GBTB,Good
188313,SELEGIE ROAD,SELEGIE COURT,Suntec City,So So
188314,SELEGIE ROAD,SELEGIE COURT,MBS,Not Good
188316,SELEGIE ROAD,SELEGIE COURT,Night Safari,Very Good
188316,SELEGIE ROAD,SELEGIE COURT,Night Safari,Good
188322,SELEGIE ROAD,,GBTB,So So
188322,SELEGIE ROAD,,GBTB,Not Good
188334,SELEGIE ROAD,,MBS,Very Good
188429,ROCHOR ROAD,BUGIS VILLAGE,Night Safari,Good
188433,ROCHOR ROAD,BUGIS VILLAGE,Suntec City,So So
188433,ROCHOR ROAD,BUGIS VILLAGE,Suntec City,Not Good
188437,ROCHOR ROAD,BUGIS VILLAGE,Night Safari,Very Good
188439,ROCHOR ROAD,BUGIS VILLAGE,Night Safari,Good
188441,ROCHOR ROAD,BUGIS VILLAGE,Marina Barrage,So So
188441,ROCHOR ROAD,BUGIS VILLAGE,Marina Barrage,Not Good
188551,QUEEN STREET,CHURCH OF SAINTS PETER & PAUL,Marina Barrage,Very Good
188552,QUEEN STREET,,GBTB,Good
188554,QUEEN STREET,,MBS,So So
188676,PRINSEP STREET,PRINSEP PLACE,Night Safari,Not Good
188679,PRINSEP STREET,PRINSEP PLACE,Night Safari,Very Good
188727,NORTH BRIDGE ROAD,NORTH BRIDGE CENTRE,Singapore Polytechnic,Good
188735,NORTH BRIDGE ROAD,BUGIS CUBE,Novena Square,So So
188737,NORTH BRIDGE ROAD,BACKPACKER COZY CORNER GUESTHOUSE,Marina Barrage,Not Good
188738,NORTH BRIDGE ROAD,,Marina Barrage,Very Good
188739,NORTH BRIDGE ROAD,,Marina Barrage,Good
188749,NORTH BRIDGE ROAD,,Marina Barrage,So So
188749,NORTH BRIDGE ROAD,,Marina Barrage,Not Good
188770,NORTH BRIDGE ROAD,RAFFLES HOSPITAL,Night Safari,Very Good
188778,NORTH BRIDGE ROAD,PARKVIEW SQUARE,Night Safari,Good
188804,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,MBS,So So
188805,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Novena Square,Not Good
188806,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Changi Airport,Very Good
188807,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Changi Airport,Good
188988,MIDDLE ROAD,ELIAS BUILDING,Sentosa,So So
188988,MIDDLE ROAD,ELIAS BUILDING,Sentosa,Not Good
188989,MIDDLE ROAD,ELIAS BUILDING,Marina Barrage,Very Good
188989,MIDDLE ROAD,ELIAS BUILDING,Marina Barrage,Good
188993,MIDDLE ROAD,ELIAS BUILDING,Suntec City,So So
189641,BENCOOLEN STREET,HAWAII HOSTEL,Marina Barrage,Not Good
189641,BENCOOLEN STREET,HAWAII HOSTEL,Marina Barrage,Very Good
189647,BENCOOLEN STREET,THE BENCOOLEN,Botanic Gardens,Good
189648,BENCOOLEN STREET,THE BENCOOLEN,Botanic Gardens,So So
189651,BENCOOLEN STREET,BURLINGTON SQUARE,Marina Barrage,Not Good
189684,BEACH ROAD,KHENG CHIU BUILDING,MBS,Very Good
190462,CRAWFORD LANE,CRAWFORD COURT,GBTB,Good
190464,CRAWFORD LANE,CRAWFORD CENTRE,MBS,So So
190465,CRAWFORD LANE,,Novena Square,Not Good
190466,CRAWFORD LANE,CRAWFORD COURT,Sentosa,Very Good
190467,NORTH BRIDGE ROAD,CRAWFORD COURT,Sentosa,Good
190468,NORTH BRIDGE ROAD,CRAWFORD COURT,Sentosa,So So
191462,CRAWFORD LANE,,GBTB,Not Good
198370,VICTORIA STREET,MASJID MALABAR,Sentosa,Very Good
198372,VICTORIA STREET,ELD TRAINING CENTRE,GBTB,Good
198685,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Novena Square,So So
198686,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Changi Airport,Not Good
198687,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,Very Good
198688,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Changi Airport,Good
198690,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Changi Airport,So So
198692,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,GBTB,Not Good
198701,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,Very Good
198703,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Suntec City,Good
198710,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,Marina Barrage,So So
198712,NORTH BRIDGE ROAD,KAMPONG GLAM CONSERVATION AREA,GBTB,Not Good
